entity_name,entity_state,entity_type,url,accessible,status,redirect_url,error,estimated_vendor,confidence,priority,search_keywords
Atlantic County,NJ,county,https://atlanticcounty.publicpurchase.com,False,,,connection_failed,publicpurchase,low,6,"atlantic county nj, atlantic county new jersey"
Atlantic County,NJ,county,https://atlanticcounty.ionwave.net,False,,,connection_failed,ionwave,low,6,"atlantic county nj, atlantic county new jersey"
Atlantic County,NJ,county,https://atlanticcounty.gov/purchasing,False,,,connection_failed,custom_html,low,6,"atlantic county nj, atlantic county new jersey"
Atlantic County,NJ,county,https://atlanticcounty.questcdn.com,False,,,connection_failed,questcdn,low,6,"atlantic county nj, atlantic county new jersey"
Atlantic County,NJ,county,https://www.co.atlantic.nj.us/procurement,False,,,connection_failed,custom_html,low,6,"atlantic county nj, atlantic county new jersey"
Atlantic County,NJ,county,https://atlanticcounty.gov/bids,False,,,connection_failed,custom_html,low,6,"atlantic county nj, atlantic county new jersey"
Atlantic County,NJ,county,https://www.atlanticcountynj.gov/procurement,False,403,,,custom_html,low,6,"atlantic county nj, atlantic county new jersey"
Atlantic County,NJ,county,https://atlanticcounty.bidsync.com,False,,,connection_failed,bidsync,low,6,"atlantic county nj, atlantic county new jersey"
Atlantic County,NJ,county,https://atlanticcounty.gov/procurement,False,,,connection_failed,custom_html,low,6,"atlantic county nj, atlantic county new jersey"
Atlantic County,NJ,county,https://atlanticcountynj.org/procurement,False,,,connection_failed,custom_html,low,6,"atlantic county nj, atlantic county new jersey"
Atlantic County,NJ,county,https://atlantic-county.bonfirehub.com,False,,,connection_failed,bonfire,low,6,"atlantic county nj, atlantic county new jersey"
Bergen County,NJ,county,https://bergencounty.publicpurchase.com,False,,,connection_failed,publicpurchase,low,9,"bergen county nj, bergen county new jersey"
Bergen County,NJ,county,https://www.co.bergen.nj.us/procurement,True,200,https://www.co.bergen.nj.us/,,custom_html,low,9,"bergen county nj, bergen county new jersey"
Bergen County,NJ,county,https://bergen-county.bonfirehub.com,False,,,connection_failed,bonfire,low,9,"bergen county nj, bergen county new jersey"
Bergen County,NJ,county,https://bergencounty.bidsync.com,False,,,connection_failed,bidsync,low,9,"bergen county nj, bergen county new jersey"
Bergen County,NJ,county,https://bergencounty.gov/purchasing,False,,,connection_failed,custom_html,low,9,"bergen county nj, bergen county new jersey"
Bergen County,NJ,county,https://www.bergencountynj.gov/procurement,False,404,https://bergencountynj.gov/procurement,,custom_html,low,9,"bergen county nj, bergen county new jersey"
Bergen County,NJ,county,https://bergencounty.gov/procurement,False,,,connection_failed,custom_html,low,9,"bergen county nj, bergen county new jersey"
Bergen County,NJ,county,https://bergencounty.ionwave.net,False,,,connection_failed,ionwave,low,9,"bergen county nj, bergen county new jersey"
Bergen County,NJ,county,https://bergencounty.questcdn.com,False,,,connection_failed,questcdn,low,9,"bergen county nj, bergen county new jersey"
Bergen County,NJ,county,https://bergencountynj.org/procurement,False,405,,,custom_html,low,9,"bergen county nj, bergen county new jersey"
Bergen County,NJ,county,https://bergencounty.gov/bids,False,,,connection_failed,custom_html,low,9,"bergen county nj, bergen county new jersey"
Burlington County,NJ,county,https://burlingtoncounty.gov/purchasing,False,,,connection_failed,custom_html,low,7,"burlington county nj, burlington county new jersey"
Burlington County,NJ,county,https://burlingtoncounty.publicpurchase.com,False,,,connection_failed,publicpurchase,low,7,"burlington county nj, burlington county new jersey"
Burlington County,NJ,county,https://burlingtoncounty.ionwave.net,False,,,connection_failed,ionwave,low,7,"burlington county nj, burlington county new jersey"
Burlington County,NJ,county,https://burlingtoncounty.gov/bids,False,,,connection_failed,custom_html,low,7,"burlington county nj, burlington county new jersey"
Burlington County,NJ,county,https://www.co.burlington.nj.us/procurement,False,404,,,custom_html,low,7,"burlington county nj, burlington county new jersey"
Burlington County,NJ,county,https://burlingtoncounty.bidsync.com,False,,,connection_failed,bidsync,low,7,"burlington county nj, burlington county new jersey"
Burlington County,NJ,county,https://burlingtoncounty.questcdn.com,False,,,connection_failed,questcdn,low,7,"burlington county nj, burlington county new jersey"
Burlington County,NJ,county,https://burlingtoncountynj.org/procurement,False,,,connection_failed,custom_html,low,7,"burlington county nj, burlington county new jersey"
Burlington County,NJ,county,https://burlington-county.bonfirehub.com,False,,,connection_failed,bonfire,low,7,"burlington county nj, burlington county new jersey"
Burlington County,NJ,county,https://www.burlingtoncountynj.gov/procurement,False,,,connection_failed,custom_html,low,7,"burlington county nj, burlington county new jersey"
Burlington County,NJ,county,https://burlingtoncounty.gov/procurement,False,,,connection_failed,custom_html,low,7,"burlington county nj, burlington county new jersey"
Camden County,NJ,county,https://camdencountynj.org/procurement,False,,,connection_failed,custom_html,low,7,"camden county nj, camden county new jersey"
Camden County,NJ,county,https://camden-county.bonfirehub.com,False,,,connection_failed,bonfire,low,7,"camden county nj, camden county new jersey"
Camden County,NJ,county,https://www.co.camden.nj.us/procurement,False,,,connection_failed,custom_html,low,7,"camden county nj, camden county new jersey"
Camden County,NJ,county,https://www.camdencountynj.gov/procurement,False,,,connection_failed,custom_html,low,7,"camden county nj, camden county new jersey"
Camden County,NJ,county,https://camdencounty.gov/purchasing,False,,,connection_failed,custom_html,low,7,"camden county nj, camden county new jersey"
Camden County,NJ,county,https://camdencounty.gov/bids,False,,,connection_failed,custom_html,low,7,"camden county nj, camden county new jersey"
Camden County,NJ,county,https://camdencounty.ionwave.net,False,,,connection_failed,ionwave,low,7,"camden county nj, camden county new jersey"
Camden County,NJ,county,https://camdencounty.gov/procurement,False,,,connection_failed,custom_html,low,7,"camden county nj, camden county new jersey"
Camden County,NJ,county,https://camdencounty.publicpurchase.com,False,,,connection_failed,publicpurchase,low,7,"camden county nj, camden county new jersey"
Camden County,NJ,county,https://camdencounty.questcdn.com,False,,,connection_failed,questcdn,low,7,"camden county nj, camden county new jersey"
Camden County,NJ,county,https://camdencounty.bidsync.com,False,,,connection_failed,bidsync,low,7,"camden county nj, camden county new jersey"
Cape May County,NJ,county,https://capemaycounty.questcdn.com,False,,,connection_failed,questcdn,low,5,"cape may county nj, cape may county new jersey"
Cape May County,NJ,county,https://www.co.capemay.nj.us/procurement,False,,,connection_failed,custom_html,low,5,"cape may county nj, cape may county new jersey"
Cape May County,NJ,county,https://cape-may-county.bonfirehub.com,False,,,connection_failed,bonfire,low,5,"cape may county nj, cape may county new jersey"
Cape May County,NJ,county,https://capemaycounty.gov/bids,False,,,connection_failed,custom_html,low,5,"cape may county nj, cape may county new jersey"
Cape May County,NJ,county,https://capemaycounty.publicpurchase.com,False,,,connection_failed,publicpurchase,low,5,"cape may county nj, cape may county new jersey"
Cape May County,NJ,county,https://capemaycounty.gov/purchasing,False,,,connection_failed,custom_html,low,5,"cape may county nj, cape may county new jersey"
Cape May County,NJ,county,https://capemaycountynj.org/procurement,False,,,connection_failed,custom_html,low,5,"cape may county nj, cape may county new jersey"
Cape May County,NJ,county,https://capemaycounty.gov/procurement,False,,,connection_failed,custom_html,low,5,"cape may county nj, cape may county new jersey"
Cape May County,NJ,county,https://capemaycounty.ionwave.net,False,,,connection_failed,ionwave,low,5,"cape may county nj, cape may county new jersey"
Cape May County,NJ,county,https://www.capemaycountynj.gov/procurement,False,404,,,custom_html,low,5,"cape may county nj, cape may county new jersey"
Cape May County,NJ,county,https://capemaycounty.bidsync.com,False,,,connection_failed,bidsync,low,5,"cape may county nj, cape may county new jersey"
Cumberland County,NJ,county,https://cumberlandcounty.gov/bids,False,,,connection_failed,custom_html,low,5,"cumberland county nj, cumberland county new jersey"
Cumberland County,NJ,county,https://cumberlandcountynj.org/procurement,True,200,https://cumberlandcountynj.org/procurement/,,custom_html,low,5,"cumberland county nj, cumberland county new jersey"
Cumberland County,NJ,county,https://cumberlandcounty.gov/procurement,False,,,connection_failed,custom_html,low,5,"cumberland county nj, cumberland county new jersey"
Cumberland County,NJ,county,https://cumberlandcounty.publicpurchase.com,False,,,connection_failed,publicpurchase,low,5,"cumberland county nj, cumberland county new jersey"
Cumberland County,NJ,county,https://cumberlandcounty.questcdn.com,False,,,connection_failed,questcdn,low,5,"cumberland county nj, cumberland county new jersey"
Cumberland County,NJ,county,https://cumberlandcounty.ionwave.net,False,,,connection_failed,ionwave,low,5,"cumberland county nj, cumberland county new jersey"
Cumberland County,NJ,county,https://cumberland-county.bonfirehub.com,False,,,connection_failed,bonfire,low,5,"cumberland county nj, cumberland county new jersey"
Cumberland County,NJ,county,https://cumberlandcounty.bidsync.com,False,,,connection_failed,bidsync,low,5,"cumberland county nj, cumberland county new jersey"
Cumberland County,NJ,county,https://www.cumberlandcountynj.gov/procurement,False,404,,,custom_html,low,5,"cumberland county nj, cumberland county new jersey"
Cumberland County,NJ,county,https://cumberlandcounty.gov/purchasing,False,,,connection_failed,custom_html,low,5,"cumberland county nj, cumberland county new jersey"
Cumberland County,NJ,county,https://www.co.cumberland.nj.us/procurement,False,,,connection_failed,custom_html,low,5,"cumberland county nj, cumberland county new jersey"
Essex County,NJ,county,https://essexcountynj.org/procurement,False,403,,,custom_html,low,9,"essex county nj, essex county new jersey"
Essex County,NJ,county,https://essexcounty.questcdn.com,False,,,connection_failed,questcdn,low,9,"essex county nj, essex county new jersey"
Essex County,NJ,county,https://essexcounty.bidsync.com,False,,,connection_failed,bidsync,low,9,"essex county nj, essex county new jersey"
Essex County,NJ,county,https://essexcounty.ionwave.net,False,,,connection_failed,ionwave,low,9,"essex county nj, essex county new jersey"
Essex County,NJ,county,https://essexcounty.gov/bids,False,,,connection_failed,custom_html,low,9,"essex county nj, essex county new jersey"
Essex County,NJ,county,https://essexcounty.gov/purchasing,False,,,connection_failed,custom_html,low,9,"essex county nj, essex county new jersey"
Essex County,NJ,county,https://essexcounty.gov/procurement,False,,,connection_failed,custom_html,low,9,"essex county nj, essex county new jersey"
Essex County,NJ,county,https://essex-county.bonfirehub.com,False,,,connection_failed,bonfire,low,9,"essex county nj, essex county new jersey"
Essex County,NJ,county,https://essexcounty.publicpurchase.com,False,,,connection_failed,publicpurchase,low,9,"essex county nj, essex county new jersey"
Essex County,NJ,county,https://www.co.essex.nj.us/procurement,False,,,connection_failed,custom_html,low,9,"essex county nj, essex county new jersey"
Essex County,NJ,county,https://www.essexcountynj.gov/procurement,False,,,connection_failed,custom_html,low,9,"essex county nj, essex county new jersey"
Gloucester County,NJ,county,https://gloucestercounty.gov/bids,False,,,connection_failed,custom_html,low,6,"gloucester county nj, gloucester county new jersey"
Gloucester County,NJ,county,https://www.gloucestercountynj.gov/procurement,False,404,,,custom_html,low,6,"gloucester county nj, gloucester county new jersey"
Gloucester County,NJ,county,https://gloucestercountynj.org/procurement,False,,,connection_failed,custom_html,low,6,"gloucester county nj, gloucester county new jersey"
Gloucester County,NJ,county,https://gloucestercounty.questcdn.com,False,,,connection_failed,questcdn,low,6,"gloucester county nj, gloucester county new jersey"
Gloucester County,NJ,county,https://gloucestercounty.gov/purchasing,False,,,connection_failed,custom_html,low,6,"gloucester county nj, gloucester county new jersey"
Gloucester County,NJ,county,https://www.co.gloucester.nj.us/procurement,False,,,connection_failed,custom_html,low,6,"gloucester county nj, gloucester county new jersey"
Gloucester County,NJ,county,https://gloucestercounty.ionwave.net,False,,,connection_failed,ionwave,low,6,"gloucester county nj, gloucester county new jersey"
